"user","scheme","totalLogin","successLogin","failLogin","successTime","failTime"
"ast403","Text",24,15,9,13.5714285714286,4
"ast413","Text",19,15,4,3.92857142857143,8.66666666666667
"ast416","Text",19,15,4,21.3846153846154,9.33333333333333
"ast417","Text",20,15,5,10.7142857142857,4.75
"ast418","Text",32,15,17,5.53333333333333,3
"ast422","Text",18,15,3,3.2,2.33333333333333
"ast423","Text",27,15,12,3,2.42857142857143
"ast424","Text",17,12,5,8.1,6.33333333333333
"ast426","Text",34,15,19,4.71428571428571,4.77777777777778
"bpt409","Blank",109,30,79,7.78571428571429,9.17391304347826
"bpt411","Blank",113,30,83,13.2142857142857,21
"bpt416","Blank",71,32,39,37.5,46
"bpt418","Blank",74,30,44,16,13.3333333333333
"bpt419","Blank",58,30,28,32.0769230769231,35.5
"bpt422","Blank",81,30,51,32.2857142857143,46
"bpt423","Blank",72,24,48,25.6363636363636,39.2
"bpt424","Blank",55,18,37,26.1111111111111,22.75
"bpt425","Blank",52,24,28,19.2,19.3333333333333
"ipt401","Image",15,12,3,24.2727272727273,33.3333333333333
"ipt402","Image",20,15,5,20,32
"ipt403","Image",29,15,14,21.0666666666667,18.5454545454545
"ipt404","Image",40,17,23,20.5625,19
"ipt406","Image",28,15,13,25.7333333333333,26.8333333333333
"ipt411","Image",23,15,8,26.4666666666667,32.6666666666667
"ipt413","Image",53,20,33,35.65,27.9444444444444
"ipt414","Image",35,15,20,18.6153846153846,20.6923076923077
"ipt419","Image",28,15,13,24,34.8888888888889
"ipt423","Image",31,15,16,32.2142857142857,47.3636363636364
"ipt424","Image",26,16,10,51.2666666666667,34.5
"ipt426","Image",30,15,15,32.1538461538462,45.1
"ipt427","Image",39,16,23,14,19.4285714285714
"ipt431","Image",35,12,23,26.9166666666667,31.0555555555556
"ipt432","Image",26,15,11,30.0666666666667,25.6
"ipt433","Image",18,15,3,20,28.3333333333333
"ipt434","Image",36,18,18,28.6666666666667,16.6666666666667
"ipt439","Image",29,13,16,24.4615384615385,33
"ipt441","Image",32,16,16,31.25,32.8666666666667
"ipt443","Image",20,16,4,34.5625,32.5
"ipt444","Image",19,15,4,11.6666666666667,15
"ipt446","Image",37,18,19,47.9411764705882,34.6666666666667
"ipt448","Image",20,13,7,27.5,27.5
"ipt449","Image",25,15,10,36.4666666666667,24.8888888888889
